Ativo

EURUSD
USDJPY
GBPUSD
USDCHF
USDCAD
AUDUSD
NZDUSD
EURGBP
EURCHF
EURCAD
EURAUD
EURNZD
EURJPY
GBPJPY
CHFJPY
CADJPY
AUDJPY
NZDJPY
GBPCHF
GBPAUD
GBPCAD
